3-Jan-00,,,,,,,,,,,,,,,
31-Oct-23,,,,,,,,,,,,,,,
,A,,Start Date,1/3/2000,,,,,,,,,,,
,B,,End Date,,,,,,,,,,,,
,C,,,,,,,,,,,,,,
,,,,A Index,B Index,C Index,D Index ,,,,,,,,
,,,,Last Price,Last Price,Last Price,Last Price,,,,,,,,
,,,Dates,PX_LAST,PX_LAST,PX_LAST,PX_LAST,,,,,,,,
,,,1/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/5/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/10/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/12/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/13/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/17/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/19/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/20/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/26/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/27/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,1/31/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/1/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/2/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/4/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/8/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/9/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/10/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/11/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/14/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/15/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/16/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/17/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/18/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/21/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/22/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/23/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/24/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/25/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/28/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,2/29/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/1/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/2/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/3/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/6/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/7/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
,,,3/8/2000,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,,,,,,,,
