tday,stocks,cl
20050512,EWC,1412
20050512,EWG,1388
20050512,EWJ,894
20050512,EWQ,1788
20050512,EWU,1232
20050512,EWY,2778
20050512,EWZ,NaN
20050512,FXI,1489
20050513,EWC,1386
20050513,EWG,1379
20050513,EWJ,886
20050513,EWQ,1789
20050513,EWU,1226
20050513,EWY,2789
20050513,EWZ,NaN
20050513,FXI,1490
20050516,EWC,1391
20050516,EWG,1395
20050516,EWJ,887
20050516,EWQ,1797
20050516,EWU,1219
20050516,EWY,2823
20050516,EWZ,NaN
20050516,FXI,1499
20050517,EWC,1404
20050517,EWG,1391
20050517,EWJ,884
20050517,EWQ,1786
20050517,EWU,1225
20050517,EWY,2826
20050517,EWZ,NaN
20050517,FXI,1476
20050518,EWC,1419
20050518,EWG,1411
20050518,EWJ,890
20050518,EWQ,1809
20050518,EWU,1239
20050518,EWY,2882
20050518,EWZ,NaN
20050518,FXI,1483
20050519,EWC,1422
20050519,EWG,1420
20050519,EWJ,894
20050519,EWQ,1824
20050519,EWU,1236
20050519,EWY,2915
20050519,EWZ,NaN
20050519,FXI,1492
20050520,EWC,1415
20050520,EWG,1417
20050520,EWJ,885
20050520,EWQ,1821
20050520,EWU,1231
20050520,EWY,2907
20050520,EWZ,NaN
20050520,FXI,1492
20050523,EWC,1437
20050523,EWG,1436
20050523,EWJ,897
20050523,EWQ,1838
20050523,EWU,1240
20050523,EWY,2913
20050523,EWZ,NaN
20050523,FXI,1489
20050524,EWC,1429
20050524,EWG,1423
20050524,EWJ,894
20050524,EWQ,1817
20050524,EWU,1231
20050524,EWY,2926
20050524,EWZ,NaN
20050524,FXI,1483
20050525,EWC,1426
20050525,EWG,1433
20050525,EWJ,882
20050525,EWQ,1828
20050525,EWU,1238
20050525,EWY,2877
20050525,EWZ,NaN
20050525,FXI,1471
20050526,EWC,1427
20050526,EWG,1434
20050526,EWJ,888
20050526,EWQ,1835
20050526,EWU,1235
20050526,EWY,2909
20050526,EWZ,NaN
20050526,FXI,1475
20050527,EWC,1451
20050527,EWG,1446
20050527,EWJ,894
20050527,EWQ,1844
20050527,EWU,1238
20050527,EWY,2926
20050527,EWZ,NaN
20050527,FXI,1489
20050531,EWC,1447
20050531,EWG,1420
20050531,EWJ,890
20050531,EWQ,1815
20050531,EWU,1227
20050531,EWY,2913
20050531,EWZ,NaN
20050531,FXI,1495
20050601,EWC,1459
20050601,EWG,1423
20050601,EWJ,895
20050601,EWQ,1808
20050601,EWU,1227
20050601,EWY,2940
20050601,EWZ,NaN
20050601,FXI,1492
20050602,EWC,1451
20050602,EWG,1440
20050602,EWJ,901
20050602,EWQ,1833
20050602,EWU,1234
20050602,EWY,2930
20050602,EWZ,NaN
20050602,FXI,1482
20050603,EWC,1461
20050603,EWG,1419
20050603,EWJ,894
20050603,EWQ,1820
20050603,EWU,1227
20050603,EWY,2932
20050603,EWZ,NaN
20050603,FXI,1477
20050606,EWC,1462
20050606,EWG,1427
20050606,EWJ,903
20050606,EWQ,1825
20050606,EWU,1234
20050606,EWY,2958
20050606,EWZ,NaN
